word;etymology;related
flotör;orig	Fransızca ,flotteur	Fransızca ,flotter	Latince,fluctuare	Latince,fluctus	Latince,fluere	;
uluhiyet;orig	Arapça,Alh	Arapça,ilāh	;
gabin;orig	Arapça,ġbn	Arapça,ġabana	Arapça,ġbw	;
kayır|mak;orig	Eski Türkçe,kadġur-	Eski Türkçe,*kad-	;
bonibon;"none	<p> <i>Bonibon</i> ""bir tür şekerleme, m&amp;m"" sözcüğünden alıntıdır. (İlk kullanımı: <u>1987 Kent Gıda A.Ş.</u>) </p>";
ağır;orig	Eski Türkçe,aġır	;
konsomatris;orig	Fransızca ,consomatrice	Fransızca ,consomateur	;
cepken;orig	Orta Türkçe,çapğan	Eski Türkçe,çap-	;
şahit;orig	Arapça,şhd	Arapça,şahida	;
emaye;orig	Fransızca ,émaillé	Fransızca ,émailler	Fransızca ,émail	Eski Fransızca,esmail	Germence,*smeltan	Hintavrupa Anadilinde,*(s)meld-	;
lâ;none	<p>lâdinî</p>;
irdele|mek;orig	Eski Türkçe,irte-	Eski Türkçe,iz	;
toygar;orig	Eski Türkçe,turıġa 	;
gelberi;orig	Türkiye Türkçesi,gel beri	;
işve;orig	Farsça,işva 	;
deskriptif;orig	Fransızca ,déscriptif	Latince,describere	Latince,scribere, script-	;
yatay;orig	Türkiye Türkçesi,yat-	;
akala;orig	İngilizce ,acala cotton	;
kırmızı;orig	Arapça ve Farsça,ḳirmizī	Arapça ve Farsça,ḳ‎rmz	Sanskritçe,kr̥mi	Hintavrupa Anadilinde,*kʷr̥mis	;
feci;orig	Arapça,fcˁ	Arapça,facaˁa	;
esaret;orig	Arapça,Asr	Arapça,asīr	;
krizalit;orig	Fransızca ,chrysalide	Eski Yunanca,χrysállis, χrysallid-	Eski Yunanca,χrýsos	Fenike dilinde,ḥrwṣ	Akatça,χurāṣu	;
anı;orig	Türkiye Türkçesi,an-	;
uz;orig	Türkiye Türkçesi,uzak	;
kıpır;"none	<p> <i>kıpıl </i>veya<i> kıpır</i> ""durduğu yerde devinme sesi"" anlamında <b>ses yansımalı sözcüktür.</b> </p>";
hümanist;orig	Fransızca ,humaniste	İtalyanca,umanista	Latince,humanus	Latince,homo, homin-	Latince,humus	;
gringo;orig	İspanyolca ,gringo	özel adından,Graecus	;
dürt|mek;orig	Eski Türkçe,türt-	Eski Türkçe,tür-	;
ketum;orig	Arapça,ktm	Arapça,katama	;
kalas;"none	<p> <i>Kalas</i> ""Romanya'da bir liman kenti, Galati"" <b>özel adından</b> alıntıdır. </p>";
kraniyum;orig	Latince,cranium	Eski Yunanca,kránion	Eski Yunanca,kára	Hintavrupa Anadilinde,*ker-<sup>1</sup>	;
umran;orig	Arapça,ˁmr	Arapça,ˁamara	;
antilop;orig	Fransızca ,antilope	Geç Latince,anthalopus	Orta Yunanca,ánthalops	;
tahakkuk;orig	Arapça,ḥḳḳ	Arapça,ḥaḳḳa	;
susa|mak;orig	Eski Türkçe,suvsa-	Eski Türkçe,suv	;
cızbız;"none	<p> <i>cız</i> ""cızırtı sesi"" ses yansımalı sözcüğünden türetilmiştir. </p>";
dair;orig	Arapça,dwr	Arapça,dāra	;
zamane;orig	Farsça,zamāna	Orta Farsça,zəmānag	Orta Farsça,zəmān	;
bale;orig	Fransızca ,ballet	İtalyanca,balletto	İtalyanca,ballo	;
enbiya;orig	Arapça,nbw	Arapça,nabī	;
kardinal;orig	Fransızca ,cardinal	Latince,cardinalis	Latince,cardo, cardin-	;
süluk;orig	Arapça,slk	Arapça,salaka	;
havil;orig	Arapça,hwl	Arapça,hāla	;
gammaz;orig	Arapça,ġmz	Arapça,ġamaza	;
tıknaz;orig	Eski Türkçe,tıkın-	;
dominant;orig	Fransızca ,dominant 	Fransızca ,dominer	Latince,dominare	Latince,dominus	;
ibraz;orig	Arapça,brz	Arapça,baraza	;
fava;orig	Yeni Yunanca,fáva	Eski Yunanca,phába	Hintavrupa Anadilinde,*bhabhā-	;
kaşkaval;orig	İtalyanca,caciocavallo	İtalyanca,cacio	Latince,caseus 	İtalyanca,cavallo	;
kezzap;orig	Farsça,tīzāb	;
acun;orig	Eski Türkçe,ajun	Soğdca,ˀjwn (ajūn)	Soğdca,jw-	Hintavrupa Anadilinde,*gʷeiə-	;
kuluçka;orig	Sırpça ,kloçka	Bulgarca,kvaçka	;
yatırım;orig	Türkiye Türkçesi,yatır-	;
haseki;orig	Farsça,χāṣṣagī	Arapça,χāṣṣ	;
çerçeve;orig	Farsça,çārçūba	Farsça,çār	Farsça,çūba	Orta Farsça,çobak	;
yüksük;orig	Eski Türkçe,yügsük	Eski Türkçe,yig 	;
teşvik;orig	Arapça,şwḳ	Arapça,şāḳa	;
vücut;orig	Arapça,wcd	Arapça,wacada	;
kulun;orig	Eski Türkçe,kulun	;
görümce;orig	Eski Türkçe,körümçi	Eski Türkçe,körüm	Eski Türkçe,kör-	;
dekuple;orig	Fransızca ,découpler	Fransızca ,coupler	;
