word;etymology;related
flotör;"<p> <b>Fransızca </b> <i>flotteur</i> ""suda yüzen şey, şamandıra"" sözcüğünden alıntıdır. Fransızca sözcük <b>Fransızca </b> <i>flotter</i> ""yüzmek, su üstünde durmak"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2B%28%29tor"">+()tor</a> ekiyle türetilmiştir. Bu sözcük <b>Latince</b> <i>fluctuare</i> ""dalgalanmak"" fiilinden alıntıdır. Latince fiil <b>Latince</b> <i>fluctus</i> ""dalga"" sözcüğünün isimden türetilmiş fiilidir. Latince sözcük <b>Latince</b> <i>fluere</i> ""akmak"" fiili ile eş kökenlidir. </p>";
uluhiyet;"<p> <b>Arapça</b> <i>Alh</i> kökünden gelen <i>ulūhiyya(t)</i> اُلوهيّة <span style=""visibility:hidden;font-size:0px"">z</span> ""tanrılık"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ilāh</i> ""tanrı"" sözcüğünün masdarıdır. </p>";
gabin;"<p> <b>Arapça</b> <i>ġbn</i> kökünden gelen <i>ġabn</i> غَبْن <span style=""visibility:hidden;font-size:0px"">z</span> ""aldatma, birinin ahmaklığından istifade etme"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ġabana</i> غَبَنَ <span style=""visibility:hidden;font-size:0px"">z</span> ""aldattı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81l"">faˁl</a> vezninde masdarıdır. Bu sözcük <b>Arapça</b> <i>ġbw</i> kökünden gelen <i>ġabī</i> غبى <span style=""visibility:hidden;font-size:0px"">z</span> ""kavrayışsız, ahmak"" sözcüğü ile eş kökenlidir. Arapça sözcük <b></b> bir sözcükten alıntıdır. </p>";
kayır|mak;"<p> <b>Eski Türkçe</b> <i>kadġur-</i> ""kaygılanmak, ilgilenmek"" fiilinden evrilmiştir. Eski Türkçe fiil <b>Eski Türkçe</b> yazılı örneği bulunmayan <i>*kad-</i> ""dönmek, yönelmek"" kökünden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2B%28g%29Ur-"">+(g)Ur-</a> ekiyle türetilmiştir.</p>";
bonibon;"<p> <i>Bonibon</i> ""bir tür şekerleme, m&amp;m"" sözcüğünden alıntıdır. (İlk kullanımı: <u>1987 Kent Gıda A.Ş.</u>) </p>";
ağır;"<p> <b>Eski Türkçe</b> <i>aġır</i> ""1. hafif zıddı, 2. pahalı, değerli"" sözcüğünden evrilmiştir. </p>";
konsomatris;"<p> <b>Fransızca </b> <i>consomatrice</i> ""bar müşterilerine içki içiren kadın"" sözcüğünden alıntıdır. Fransızca sözcük <b>Fransızca </b> <i>consomateur</i> ""tüketici"" sözcüğünün dişilidir. </p>";
cepken;"<p> <b>Orta Türkçe</b> <i>çapğan</i> ""birbirine ekli parçalardan oluşan mintan veya zırh"" sözcüğünden evrilmiştir. Türkçe sözcük <b>Eski Türkçe</b> <i>çap-</i> ""yamamak, kabaca dikmek"" fiilinden türetilmiş olabilir; ancak bu kesin değildir. </p>";
şahit;"<p> <b>Arapça</b> <i>şhd</i> kökünden gelen <i>şāhid</i> شاهد <span style=""visibility:hidden;font-size:0px"">z</span> ""tanık"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>şahida</i> شَهِدَ <span style=""visibility:hidden;font-size:0px"">z</span> ""tanıklık etti"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=f%C4%81%CB%81il"">fāˁil</a> vezninde etken fiil sıfatııdır. </p>";
emaye;"<p> <b>Fransızca </b> <i>émaillé</i> ""sırlı, sırlanmış"" sözcüğünden alıntıdır. Fransızca sözcük <b>Fransızca </b> <i>émailler</i> ""sırlamak"" sözcüğünün geçmiş zaman fiil-sıfatııdır. Bu sözcük <b>Fransızca </b> <i>émail</i> ""sır"" sözcüğünün isimden türetilmiş fiilidir. Fransızca sözcük <b>Eski Fransızca</b> <i>esmail</i> sözcüğünden evrilmiştir. Eski Fransızca sözcük <b>Germence</b> yazılı örneği bulunmayan <i>*smeltan</i> ""metal eritmek"" fiilinden türetilmiştir. Germence fiil <b>Hintavrupa Anadilinde</b> yazılı örneği bulunmayan <i>*(s)meld-</i> ""eritmek, metal eritmek"" biçiminden evrilmiştir. </p>";
