word;etymology;related
abiye;"<p> <b>Fransızca </b> <i>habillé</i> ""giyinik, özellikle gece kıyafeti giymiş"" sözcüğünden alıntıdır. Fransızca sözcük <b>Fransızca </b> <i>habiller</i> ""hazırlamak, donatmak, giydirmek"" fiilinin geçmiş zaman fiil-sıfatııdır. Bu sözcük <b>Latince</b> <i>habitus</i> ""kılık, donanım"" sözcüğünden türetilmiş olabilir; ancak bu kesin değildir. Latince sözcük <b>Latince</b> <i>habēre</i> ""sahip olmak"" fiilinin geçmiş zaman fiil-sıfatııdır. </p>";
abit;"<p> <b>Arapça</b> <i>ˁbd</i> kökünden gelen <i>ˁābid</i> عابد <span style=""visibility:hidden;font-size:0px"">z</span> ""hizmet eden, ibadet eden"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁabada</i> عَبَدَ <span style=""visibility:hidden;font-size:0px"">z</span> ""kulluk etti"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=f%C4%81%CB%81il"">fāˁil</a> vezninde etken fiil sıfatııdır. </p>";
absolü;"<p> <b>Fransızca </b> <i>absolut</i> ""mutlak, salt"" sözcüğünden alıntıdır. Fransızca sözcük <b>Latince</b> aynı anlama gelen <i>absolutus</i> sözcüğünden alıntıdır. Bu sözcük <b>Latince</b> <i>absoluere</i> ""yalıtmak, arıtmak, tenzih etmek"" fiilinin geçmiş zaman fiil-sıfatııdır. Latince fiil <b>Latince</b> <i>soluere</i> fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ab%2B"">ab+</a> önekiyle türetilmiştir.</p>";
açmaz;"<p> <b>Türkiye Türkçesi</b> <i>aç-</i> fiilinden Türkiye Türkçesinde <a class=""presufgram"" href=""?s=structures&amp;ttype=t&amp;ww=%2BmAz"">+mAz</a> ekiyle türetilmiştir.</p>";
ademimerkeziyet;"<p> <b>Arapça</b> <i>ˁadam</i> عدم <span style=""visibility:hidden;font-size:0px"">z</span> ""yokluk, yoksunluk"" ve <b>Arapça</b> <i>markazī</i> مركزى <span style=""visibility:hidden;font-size:0px"">z</span> ""merkeze ait"" sözcüklerinin bileşiğidir. </p>";<p>ademimerkezi, ademimerkeziyetçi, ademimerkeziyetçilik</p>
abrasif;"<p> <b>İngilizce </b> <i>abrasive</i> ""aşındırıcı, zımpara"" sözcüğünden alıntıdır. İngilizce sözcük <b>Latince</b> <i>abradere</i> ""aşındırmak, zımparalamak"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2B%28%29tiv%C2%B0"">+()tiv°</a> ekiyle türetilmiştir. Bu sözcük <b>Latince</b> <i>radere, ras-</i> ""traş etmek, çizmek, aşındırmak"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ab%2B"">ab+</a> önekiyle türetilmiştir.</p>";
adap;"<p> <b>Arapça</b> <i>Adb</i> kökünden gelen <i>ādāb</i> آداب <span style=""visibility:hidden;font-size:0px"">z</span> ""görgü kuralları"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>adab</i> أَدَب <span style=""visibility:hidden;font-size:0px"">z</span> ""görgü, terbiye"" sözcüğünün <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=af%CB%81%C4%81l"">afˁāl</a> vezninde çoğuludur. </p>";
acar;"<p> <b>Arapça</b> <i>ˁcr</i> kökünden gelen <i>aˁcar</i> أعجَر <span style=""visibility:hidden;font-size:0px"">z</span> ""kaba, şişman, iri, güçlü"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁacara</i> عَجَرَ <span style=""visibility:hidden;font-size:0px"">z</span> ""kabardı, şişti"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=af%CB%81al"">afˁal</a> vezninde sıfatıdır. </p>";
abo;"<p> ""şaşırma ünlemi"" <b>Bir sözcüktür.</b> </p>";
abus;"<p> <b>Arapça</b> <i>ˁbs</i> kökünden gelen <i>ˁabūs</i> عَبُوس <span style=""visibility:hidden;font-size:0px"">z</span> ""çatık kaşlı, asık suratlı"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁabasa</i> عَبَسَ <span style=""visibility:hidden;font-size:0px"">z</span> ""kaş çattı, surat astı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81%C5%ABl"">faˁūl</a> vezninde ismi mübalağasıdır. </p>";
acık|mak;"<p> <b>Eski Türkçe</b> <i>açık-</i> ""acıkmak"" fiilinden evrilmiştir. Eski Türkçe fiil <b>Eski Türkçe</b> aynı anlama gelen <i>āç-</i> fiilinden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BIk-"">+Ik-</a> ekiyle türetilmiştir.</p>";
adale;"<p> <b>Arapça</b> <i>ˁḍl</i> kökünden gelen <i>ˁaḍala(t)</i> عضلة <span style=""visibility:hidden;font-size:0px"">z</span> ""kas"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁaḍal</i> عضل <span style=""visibility:hidden;font-size:0px"">z</span> ""tarla faresi"" sözcüğü ile eş kökenlidir. </p>";
adamcıl;"<p> <b>Türkiye Türkçesi</b> <i>ādam</i> ""insan"" sözcüğünden Türkiye Türkçesinde <a class=""presufgram"" href=""?s=structures&amp;ttype=t&amp;ww=%2B%C3%A7Il"">+çIl</a> ekiyle türetilmiştir.</p>";
abaküs;"<p> <b>Latince</b> <i>abacus</i> ""1. her türlü masa, pano, tabla, 2. hesap tahtası"" sözcüğünden alıntıdır. Latince sözcük <b>Eski Yunanca</b> <i>ábaks, abak-</i> άβα <span style=""visibility:hidden;font-size:0px"">z</span> ""tabla, masa, oyun veya hesap tablası"" sözcüğünden alıntıdır. </p>";
abide;"<p> <b>Arapça</b> <i>Abd</i> kökünden gelen <i>ābida(t)</i> آبِدة <span style=""visibility:hidden;font-size:0px"">z</span> ""akılda kalan şey, tekerleme, büyük olay, facia"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>abada</i> أَبَدَ <span style=""visibility:hidden;font-size:0px"">z</span> ""kaldı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=f%C4%81%CB%81ila%28t%29"">fāˁila(t)</a> vezninde etken fiil sıfatı dişilidir. </p>";<p>abidevî</p>
açık;"<p> <b>Eski Türkçe</b> <i>açuk</i> ""açık"" sözcüğünden evrilmiştir. Eski Türkçe sözcük <b>Eski Türkçe</b> <i>aç-</i> fiilinden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BUk"">+Uk</a> ekiyle türetilmiştir.</p>";
abdomen;"<p> <b>Latince</b> <i>abdomen, abdomin-</i> ""karın boşluğu"" sözcüğünden alıntıdır. </p>";
abuk sabuk;"<p> <b>Türkiye Türkçesi</b> <i>obuk sapuk </i>veya<i> obur sapur</i> ""saçma sapan"" deyiminden türetilmiştir. </p>";"<p><a href=""?k=abur%20cubur&amp;lnk=1"" style=""text-decoration:underline;color:"">abur cubur</a> </p>"
abanoz;"<p> <b>Farsça</b> <i>ābnūs</i> آبنوس <span style=""visibility:hidden;font-size:0px"">z</span> ""tropik ülkelere özgü siyah ağaç"" sözcüğünden alıntıdır. Farsça sözcük <b>Eski Yunanca</b> aynı anlama gelen <i>ébenos</i> έβενος <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğünden alıntıdır. Bu sözcük <b>Eski Mısır dilinde</b> aynı anlama gelen <i>hbny</i> sözcüğünden alıntıdır. </p>";"<p><a href=""?k=ebonit&amp;lnk=1"" style=""text-decoration:underline;color:"">ebonit</a> </p>"
aborjin;"<p> <b>İngilizce </b> <i>aborigine</i> ""yerli, özellikle Avustralya yerlisi"" sözcüğünden alıntıdır. İngilizce sözcük <b>Latince</b> <i>aborigine</i> ""yerli, Rome kentinin en eski ailelerine verilen ad"" sözcüğünden alıntıdır. Bu sözcük <b>Latince</b> <i>origen, origin-</i> ""kök, asıl"" sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ab%2B"">ab+</a> önekiyle türetilmiştir.</p>";<p>aborijin, aborijinal</p>
adapte;"<p> <b>Fransızca </b> <i>adapter</i> ""uyarlamak"" fiilinden alıntıdır. Fransızca fiil <b>Geç Latince</b> <i>adaptare</i> ""bir şeye uydurmak, tatbik etmek"" fiilinden evrilmiştir. Bu sözcük <b>Latince</b> aynı anlama gelen <i>aptare</i> fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ad%2B"">ad+</a> önekiyle türetilmiştir. Latince fiil <b>Latince</b> <i>apiō </i>veya<i> apiscor, apt-</i> ""bağlamak, iliştirmek, uydurmak"" sözcüğünün isimden türetilmiş fiilidir. </p>";<p>adaptasyon, adaptör</p>
