word;etymology;related
sığın;orig	Eski Türkçe,sıġun	;
flotör;orig	Fransızca ,flotteur	Fransızca ,flotter	Latince,fluctuare	Latince,fluctus	Latince,fluere	;
uluhiyet;orig	Arapça,Alh	Arapça,ilāh	;
gabin;orig	Arapça,ġbn	Arapça,ġabana	Arapça,ġbw	;
kayır|mak;orig	Eski Türkçe,kadġur-	Eski Türkçe,*kad-	;
seyrisefain;orig	Arapça,sayr	Arapça,sfn	Arapça,safīna(t)	;
bonibon;"none	<p> <i>Bonibon</i> ""bir tür şekerleme, m&amp;m"" sözcüğünden alıntıdır. (İlk kullanımı: <u>1987 Kent Gıda A.Ş.</u>) </p>";
ağır;orig	Eski Türkçe,aġır	;
pek;orig	Eski Türkçe,bek	;
meta;orig	Arapça,mtˁ	Arapça,mataˁa	;
konsomatris;orig	Fransızca ,consomatrice	Fransızca ,consomateur	;
matine;orig	Fransızca ,matinée	Fransızca ,matin	Latince,matutinum	Latince,matuta	;
cepken;orig	Orta Türkçe,çapğan	Eski Türkçe,çap-	;
şahit;orig	Arapça,şhd	Arapça,şahida	;
peş;orig	Farsça,paş	Orta Farsça,paş 	Avesta (Zend) dilinde,pratiş	;
mültefit;orig	Arapça,lft	Arapça,lafata	;
emaye;orig	Fransızca ,émaillé	Fransızca ,émailler	Fransızca ,émail	Eski Fransızca,esmail	Germence,*smeltan	Hintavrupa Anadilinde,*(s)meld-	;
lâ;none	<p>lâdinî</p>;
sır;orig	Eski Türkçe,sır	Eski Türkçe,sırı-	;
irdele|mek;orig	Eski Türkçe,irte-	Eski Türkçe,iz	;
sığla;orig	Türkiye Türkçesi,sığala	;
reis;orig	Arapça,rAs	Arapça,raˀs	Aramice/Süryanice,reˀşā	Akatça,rāşu	;
toygar;orig	Eski Türkçe,turıġa 	;
gelberi;orig	Türkiye Türkçesi,gel beri	;
serum;orig	Yeni Latince,serum	Latince,serum	Hintavrupa Anadilinde,*ser-<sup>2</sup>	;
işve;orig	Farsça,işva 	;
deskriptif;orig	Fransızca ,déscriptif	Latince,describere	Latince,scribere, script-	;
yatay;orig	Türkiye Türkçesi,yat-	;
sipahi;orig	Farsça,sipāhī	Farsça,sipāh 	Orta Farsça,spāh	Eski Farsça ve Avesta (Zend) dilinde,spāda-	Eski Farsça ,aspa	;
akala;orig	İngilizce ,acala cotton	;
kırmızı;orig	Arapça ve Farsça,ḳirmizī	Arapça ve Farsça,ḳ‎rmz	Sanskritçe,kr̥mi	Hintavrupa Anadilinde,*kʷr̥mis	;
feci;orig	Arapça,fcˁ	Arapça,facaˁa	;
lanet;orig	Arapça,lˁn	Arapça,laˁana	;
esaret;orig	Arapça,Asr	Arapça,asīr	;
krizalit;orig	Fransızca ,chrysalide	Eski Yunanca,χrysállis, χrysallid-	Eski Yunanca,χrýsos	Fenike dilinde,ḥrwṣ	Akatça,χurāṣu	;
maksi+;orig	Latince,magnus	Eski Yunanca,megás/megálos,	Sanskritçe,maha,	Farsça,mēh,	Kürtçe (Kurmanci),mezin,	Ermenice,medz	;
anı;orig	Türkiye Türkçesi,an-	;
nanik;orig	Fransızca ,la nique	;
uz;orig	Türkiye Türkçesi,uzak	;
kıpır;"none	<p> <i>kıpıl </i>veya<i> kıpır</i> ""durduğu yerde devinme sesi"" anlamında <b>ses yansımalı sözcüktür.</b> </p>";
