names	wls_fam	wls_gen	e	hh	lat	lon	pop	wcode	iso	I	you	we	this	that	who	what	not	all	many	one	two	big	long	small	woman	man	person	fish	bird	dog	louse	tree	seed	leaf	root	bark	skin	flesh	blood	bone	grease	egg	horn	tail	feather	hair	head	ear	eye	nose	mouth	tooth	tongue	claw	foot	knee	hand	belly	neck	breast	heart	liver	drink	eat	bite	see	hear	know	sleep	die	kill	swim	fly	walk	come	lie	sit	stand	give	say	sun	moon	star	water	rain	stone	sand	earth	cloud	smoke	fire	ash	burn	path	mountain	red	green	yellow	white	black	night	hot	cold	full	new	good	round	dry	name
AUNI	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	N, NN	a	i, e								!o*	!kom						!i			!haN		!mwa, !bwa																!nae	co	!nu		!ke*i*	!a*ri			!koi!koi	"!k""a"						"k""a"			!kun	taa, taa*			!a!an					sE						!koi, !ke*		!ha	!kha		"!k""o"					!i			!ane							!gau								
BATWA	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-29.0	26.0	0		xeg	N, aN, am	a, aN	i								!ka	!ku						kwi			!kwi										!ka			!ke*					Zwe	ca*i*, caxu	!nu		!ke*i*	!e*			!numa	"!k""a"						"k""a*, k""e*"			!ne, !na	tui, taa*			!a					se, sa, tean						!ko*i*, !un		kale	!kha, Sa		Ze, Zu					!i										!ga								
KAM_KA_KE	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-31.0	21.0	0		xam	n, N, m, ka	a, aa, aken	i, ii, it3n								!kwai	!ku						!kwi, !ku			!kwiN	!moEN	!ho					tu*, !go		!xaukn	!kwa			!ke*i*					!nuntu	"c""axau"	!nuru		!ke*i*	!eri, !eni			!noaN	"!k""a"			!kwei!kwei		!noaN	"k""wa*, k""we*"			"!ni, !na, !k""oen"	tu, tui, tum			!a, !kukn					"s""i, Si, s""e"						!ko*iN		!kwat3n	!khwa		!kau, !kou					!i			!xara, !kaue	!kau, !kou						!ga			!kauNa	!kaN, !kwe				!ke*
MASARWA_KAKIA	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	N, na	a	i								!kw7e	!num						tu, da, !haa			!xai		!moe		!gana			"t""im, !ke"		!xa*u*, !naia	!ka			!konSa					!nwa	"!k""we*"	!nu Ca		!xu*	!ani, !nani			!ko*!naN	"!k""a"			!xansa			"k""a*"			!ne, !na, !nin, !ko*i*	Cau			!a					Si, Sa						!on		!kwanate	!kha		!nile					!a			dau	!num						!noe			!gum	!xwe				"!k""a*u*"
NG_KE	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-26.0	21.0	5		ngh	N, n, ni, m, a	a, ake	i, e								!kwe	!ku						!kwa, !ge			!kuiN	!moinya	!bo, !ho		xero			tu*, !kou		!xau	!kaba			!ke*i*					!nwentu	"c""axu"	!nu tu		!ke*i*	!e*			!no*	"!k""a"			!ke*		!naiN	"k""a*, k""e*i*"			!ni, !na, !ken	tu			!a					si, se, sa						!ko*i		!kweisa	!kha		!kau, !kn!nei					!i			tirau	!kau						!ga			!xaN	!xe, !e*				!ke*
NU	Tu	TU	Tuu,!Ui	Tuu,!Kwi	-26.0	21.0	5		ngh											!7~oe	!7~u						!o			!un	N!~usi			"!x""o*si"			To*		!x~au	!aba			q!~oesi					N!~ui*si	"c""am"	N!~uTu		!h~ai*si	!7~an			N!~usi	"!x""a"			!a		N!~3n	"kx""ai*"			N!~3i*	Tu			Toa7u					si						!7~ui*		"!x""oXesi"	q!h$a		!uru					!7~i			!an	!ao						!a			!7~un	!x~aiTa				ka!3e
NU_EN	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	N, NN, m, na	a, aa	i								!oe	!num						tu			!khi		!pwoi, !pwe		!nabu			"t""um"		!naa	!ka*			!ka*					!nuSa	!u*	!nuSa		!onte				!gu*!ni	"!k""a"					!nom	"k""a*"			!ne, !na	tai, taN			!a					si						!on, !e*		!anate	!kha		!um, !oye					!a*			dau, !kare !ka*	!nau, !gum						!noe			!kom					!ka*
XOON	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-24.0	21.5	2500		nmn	n	ah	ih, isi								"!""ua*"	n!~um						ta			q!h$ai	n!~u*	"n!""aye"		!ana			tum		n!~a	!a*			!ae*					n!~uha*	"!""ui*"	n!~una		q!h$a*	"n!""an"			!x~u* n!~an	"!""xa"			!u		n!~am	kx~aha*			n!~a*	ta*			"!""a"					si						"!""an"		!ona	q!h$a		n!~ule					"!""a*"			dao	!um						n!~ue			!um	q!~u				!au*
XOON_MASARWA	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-19.35	22.83	2500		nmn	n		si								"!""w~e"	n!~um						da			!x~ai		m!~oe, n!~oe		!ana			"t""im"		n!~a	!a			!onSa					n!w$a	"!""w~e*"	n!~utSa, n!~uCa		!x~u*	n!~an			!o* n!~aN	"!""a"			n!~am			"k""a*"			n!~a	taN			!a					Si						!on		!w~anate	!h~a		n!~ile					!a*			dau	n!~um						n!~oe			!um	!xw$e				"!""a*u*"
XOON_NUEN	Tu	TU	Tuu,Taa	Tuu,Hua,Taa	-21.68	22.17	2500		nmn	N		si								!oe	n!~um						da			!h~i		"!""a"		n!~abu			"t""um"		n!~a	!a*			!a*					n!~uSa	!u*	n!~uSa		!on	!ani			!u* n!~i	"!""a"			!u		n!~om	"k""a*"			n!~e	ta*N			!a					si						!on		!anate	!h~a		!oiye					!a*			dau	!um						n!~oe			!um					!a*
